filename,id,datetime,satellite,instrument,sensor,solar_zeniith,solar_azimuth
p013r030/LT50130301987186PAC03/LT50130301987186PAC03_stack.tif,LT50130301987186PAC03,1987-07-05T14:57:52.738044,LANDSAT_5,TM,TM5,31.439022,121.050354
p013r030/LT50130301985116PAC02/LT50130301985116PAC02_stack.tif,LT50130301985116PAC02,1985-04-26T15:03:06.990056,LANDSAT_5,TM,TM5,37.073292,134.896713
p013r030/LT50130301993298AAA02/LT50130301993298AAA02_stack.tif,LT50130301993298AAA02,1993-10-25T14:55:01.304044,LANDSAT_5,TM,TM5,59.847591,151.830811
p013r030/LE70130302007089EDC00/LE70130302007089EDC00_stack.tif,LE70130302007089EDC00,2007-03-30T15:23:25.903192,LANDSAT_7,ETM,ETM7,44.254440,146.332550
p013r030/LT50130301993346XXX02/LT50130301993346XXX02_stack.tif,LT50130301993346XXX02,1993-12-12T14:54:43.483094,LANDSAT_5,TM,TM5,70.869637,153.548706
p013r030/LT50130302008180GNC01/LT50130302008180GNC01_stack.tif,LT50130302008180GNC01,2008-06-28T15:20:12.702038,LANDSAT_5,TM,TM5,27.684746,128.648926
p013r030/LC80130302014180LGN00/LC80130302014180LGN00_stack.tif,LC80130302014180LGN00,2014-06-29T15:32:38.511164,LANDSAT_8,OLI_TIRS,OLI_TIRS8,25.833214,133.588089
p013r030/LT50130302000078XXX02/LT50130302000078XXX02_stack.tif,LT50130302000078XXX02,2000-03-18T15:06:48.895000,LANDSAT_5,TM,TM5,50.340977,142.965988
p013r030/LT50130302001032XXX02/LT50130302001032XXX02_stack.tif,LT50130302001032XXX02,2001-02-01T15:12:52.487050,LANDSAT_5,TM,TM5,65.280655,150.745850
p013r030/LT50130302000270XXX02/LT50130302000270XXX02_stack.tif,LT50130302000270XXX02,2000-09-26T15:11:15.891013,LANDSAT_5,TM,TM5,49.026657,149.695618
p013r030/LT50130302000302XXX02/LT50130302000302XXX02_stack.tif,LT50130302000302XXX02,2000-10-28T15:11:40.155075,LANDSAT_5,TM,TM5,59.556358,156.796951
p013r030/LC80130302013273LGN00/LC80130302013273LGN00_stack.tif,LC80130302013273LGN00,2013-09-30T15:34:46.432474,LANDSAT_8,OLI_TIRS,OLI_TIRS8,48.279003,158.129059
p013r030/LT50130301988189PAC09/LT50130301988189PAC09_stack.tif,LT50130301988189PAC09,1988-07-07T15:03:34.058088,LANDSAT_5,TM,TM5,30.908237,123.033852
p013r030/LT50130301996275PAC02/LT50130301996275PAC02_stack.tif,LT50130301996275PAC02,1996-10-01T14:51:29.506050,LANDSAT_5,TM,TM5,52.499332,145.447128
p013r030/LE70130302012071EDC00/LE70130302012071EDC00_stack.tif,LE70130302012071EDC00,2012-03-11T15:26:59.389828,LANDSAT_7,ETM,ETM7,51.022095,149.716522
p013r030/LE70130302003078EDC00/LE70130302003078EDC00_stack.tif,LE70130302003078EDC00,2003-03-19T15:21:35.178040,LANDSAT_7,ETM,ETM7,48.739574,147.235672
p013r030/LE70130302004049EDC01/LE70130302004049EDC01_stack.tif,LE70130302004049EDC01,2004-02-18T15:22:00.195392,LANDSAT_7,ETM,ETM7,59.599651,150.813736
p013r030/LE70130302008028EDC00/LE70130302008028EDC00_stack.tif,LE70130302008028EDC00,2008-01-28T15:23:13.783383,LANDSAT_7,ETM,ETM7,65.548897,153.916061
p013r030/LT50130302000030XXX02/LT50130302000030XXX02_stack.tif,LT50130302000030XXX02,2000-01-30T15:07:16.244063,LANDSAT_5,TM,TM5,66.514763,149.738358
p013r030/LE70130302014156EDC00/LE70130302014156EDC00_stack.tif,LE70130302014156EDC00,2014-06-05T15:30:18.001131,LANDSAT_7,ETM,ETM7,26.151367,135.743774
p013r030/LT50130301998360XXX01/LT50130301998360XXX01_stack.tif,LT50130301998360XXX01,1998-12-26T15:11:58.417025,LANDSAT_5,TM,TM5,70.268593,156.086044
p013r030/LE70130302001184EDC00/LE70130302001184EDC00_stack.tif,LE70130302001184EDC00,2001-07-03T15:22:15.464343,LANDSAT_7,ETM,ETM7,27.769070,129.502747
p013r030/LE70130302012263EDC00/LE70130302012263EDC00_stack.tif,LE70130302012263EDC00,2012-09-19T15:28:21.765681,LANDSAT_7,ETM,ETM7,45.213245,153.182953
p013r030/LE70130302016114EDC00/LE70130302016114EDC00_stack.tif,LE70130302016114EDC00,2016-04-23T15:35:13.517776,LANDSAT_7,ETM,ETM7,34.154289,147.264999
p013r030/LE70130302015095EDC00/LE70130302015095EDC00_stack.tif,LE70130302015095EDC00,2015-04-05T15:32:01.642670,LANDSAT_7,ETM,ETM7,41.063774,148.727554
p013r030/LE70130302000022EDC01/LE70130302000022EDC01_stack.tif,LE70130302000022EDC01,2000-01-22T15:25:41.480316,LANDSAT_7,ETM,ETM7,66.637741,155.476242
p013r030/LC80130302015071LGN00/LC80130302015071LGN00_stack.tif,LC80130302015071LGN00,2015-03-12T15:32:30.027041,LANDSAT_8,OLI_TIRS,OLI_TIRS8,50.253067,151.281296
p013r030/LE70130302013313EDC00/LE70130302013313EDC00_stack.tif,LE70130302013313EDC00,2013-11-09T15:29:03.455375,LANDSAT_7,ETM,ETM7,61.991531,162.524261
p013r030/LT50130302005011GNC01/LT50130302005011GNC01_stack.tif,LT50130302005011GNC01,2005-01-11T15:18:56.582081,LANDSAT_5,TM,TM5,68.751709,155.406738
p013r030/LE70130302015303EDC00/LE70130302015303EDC00_stack.tif,LE70130302015303EDC00,2015-10-30T15:33:19.870289,LANDSAT_7,ETM,ETM7,58.614201,162.931686
